Deposco Configuration Task List,,,,,,,,,,8/12/2025,
Product / Task Group,Task,Task Details,"Out of Scope 
(SOW001)",Phase 2 Item,Comments,Owner,Status,% Complete,Locked,Due date,Delivery Date
Cycle Counts,"Record selectors, profiles, schedulers",Help site link,FALSE,FALSE,,Deposco,In Progress,0%,FALSE,Aug 18,
Cycle Counts,Enable/validate cycle count task creation during picking exceptions and replenishment exceptions and set stock unit status on hold,,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Cycle Counts,Validate only admin users have access to manage CC variances,,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Physical Counts,Workflow SIs ,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Aug 18,
Inventory Adjustments,Enable process to admin users only,,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Inventory Adjustments,Provide reason codes for inventory adjustments,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,Aug 18,
Inventory Adjustments,Configure reason codes for inventory adjustments,,FALSE,FALSE,,Deposco,To-Do,0%,TRUE,Aug 18,
Kit to Stock,Kit to Stock base configuration and process validation,,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Users,Create Omnipress users and groups,Assign groups to Omnipress users and permissions,FALSE,FALSE,,Omnipress,Not assigned yet,0%,FALSE,,
Users,Create external users and groups,Assign groups to external users and permissions,FALSE,FALSE,,Omnipress,Not assigned yet,0%,FALSE,,
,,,FALSE,FALSE,,,Not assigned yet,,FALSE,,
POI,Configure POI rules,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,TBD,
Automations,Configure SO automations,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,TBD,
Packing,Rules to prevent partial kit shipments,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
3PL Billing,,,,,,,,,,,
3PL Billing,Config transaction billing profile template,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
3PL Billing,Billing configs templates,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
3PL Billing,AdHoc Billing workflow process config,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Bright Order Configuration (T&M),,,,,,,,,,,
Daily Item Facility History,Request Snowflake DB setup for prod,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Outbound Order Management,CoHeader field mapping and DE template,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Outbound Order Management,Customer Order - Custom integration,Omnipress team to look into how 'custom integration' orders are being pulled into Veracore,FALSE,FALSE,,Omnipress,Closed,0%,FALSE,,
